Novo,Tipo,TipoAnuncio,Rua,Metragem,Comodos,Aluguel,Total,Bairro,Cidade,Lat,Long,TicketM.Bairro,Std.Bairro,TicketM.Comodos,Std.Comodos,TicketM.Tipo,Std.Tipo,ZScore.Bairro,ZScore.Comodos,ZScore.Tipo,Zscore,PredictOfModel,%PriceOfCityModel,PredictOfModelByRegion,%PriceOfRegioModel
1,Apartamento,Nenhum,Rua Deputado Mário de Barros,33,1,900,1432,Centro Cívico,Curitiba,-25.4127722,-49.2644256,1635.2,278.1199381561847,1643.8702290076335,1858.1809276690537,2224.125,1789.167544386054,-0.730620038775819,-0.11402023659418814,-0.44273383031426194,-0.4291247018947564,1200.1243278437405,119.3209709008124,761.4264296615495,188.06807121687612
1,Casa,Nenhum,Rua Natálio Scussiato,62,3,1600,1807,Cidade Industrial,Curitiba,-25.4679057,-49.3410556,1344.75,455.09521980670064,3157.162162162162,2268.8736873082294,3763.2631578947367,4000.668209929417,1.015721501527391,-0.5950803562643374,-0.48898410346536847,-0.02278098606743828,1931.8901720207807,93.53533788672136,1553.3752581021638,116.32733240567397
1,Apartamento,Exclusivo,Rua Lourival Portella Natel,33,1,1200,1566,Portão,Curitiba,0.0,0.0,3104.133333333333,2237.008680826974,1643.8702290076335,1858.1809276690537,2224.125,1789.167544386054,-0.687584874621371,-0.04190669909916456,-0.36783866444762336,-0.365776746056053,978.4977856956423,160.04124106286918,761.4264296615495,205.6666197804665
0,Apartamento,Exclusivo,Rua Renato Polatti,57,2,1552,1978,Campo Comprido,Curitiba,-25.4607769,-49.335998,1977.2222222222222,1073.5094058481484,1968.030612244898,1272.6401768260293,2224.125,1789.167544386054,0.0007245188291231867,0.007833626453602647,-0.13756397536512258,-0.04300194336079891,1755.3262263249742,112.68560626141986,1350.1839034024595,146.49856178965294
0,Studio e kitnet,Nenhum,Rua Major França Gomes,28,1,1500,1835,Santa Quitéria,Curitiba,-25.4588126,-49.3092527,1835.0,,1643.8702290076335,1858.1809276690537,1865.0,2651.1595261947805,,0.1028585366184574,-0.011315803407371384,,1619.0067081228012,113.34109925508817,961.5213214830771,190.8434019091376
0,Apartamento,Exclusivo,Rua Valdomiro Rodrigues,45,2,800,1069,Tatuquara,Curitiba,-25.5564893,-49.2954255,962.3333333333334,295.46956978116486,1968.030612244898,1272.6401768260293,2224.125,1789.167544386054,0.3610072832395827,-0.7064295380702853,-0.6456214811320964,-0.33034791198759966,1495.429660475864,71.48447220578942,1356.2350749618456,78.8211438957272
1,Apartamento,Exclusivo,Rua David Bodziak,48,2,700,1005,Cachoeira,Curitiba,-25.3516702,-49.2515825,939.3333333333334,72.83085426749666,1968.030612244898,1272.6401768260293,2224.125,1789.167544386054,0.90163251999603,-0.7567186937683368,-0.6813923066206402,-0.17882616013098232,1627.3247036087434,61.75780394480089,1157.148711733549,86.85141242514874
0,Apartamento,Exclusivo,Rua Comendador Macedo,25,1,1200,1652,Centro,Curitiba,-25.4292982,-49.2585813,2668.6176470588234,3457.8088701820184,1643.8702290076335,1858.1809276690537,2224.125,1789.167544386054,-0.2940063159145372,0.004375123472268484,-0.3197716176973926,-0.2031342700465538,738.3125067922999,223.75348985720706,963.0341143729237,171.54117131932486
1,Casa,Nenhum,Rua Professor Rodolfo Belz,50,1,1100,1195,Santa Cândida,Curitiba,-25.3736846,-49.23917,1404.611111111111,524.6169626654669,1643.8702290076335,1858.1809276690537,3763.2631578947367,4000.668209929417,-0.39955076947211493,-0.2415643290294164,-0.6419585487045545,-0.427691215735362,1024.0811849682432,116.68996731319274,752.8539366190861,158.72932874157527
1,Casa,Exclusivo,Rua Pedro Wieler,110,4,2500,2639,Xaxim,Curitiba,-25.512056,-49.2654152,1672.6666666666667,782.4432673789626,6822.210526315789,4565.208509038131,3763.2631578947367,4000.668209929417,1.235020318559795,-0.9163240886005387,-0.28101884457810905,0.01255912846038241,3073.806103870837,85.85447197455667,1932.4568183858519,136.56191304726343
0,Apartamento,Nenhum,Rua Padre Giácomo Cusmano,45,1,2300,3017,Campina do Siqueira,Curitiba,-25.4370317,-49.3068764,2350.25,605.2312918766401,1643.8702290076335,1858.1809276690537,2224.125,1789.167544386054,1.101644956149919,0.7389645166118743,0.44315301967545584,0.7612541641457499,1393.0999920222487,216.5673689812078,952.9488284406137,316.59622321347075
1,Apartamento,Nenhum,Avenida Sete de Setembro,50,2,859,1350,Rebouças,Curitiba,-25.4401194,-49.2729475,1897.2,1383.5178832719632,1968.030612244898,1272.6401768260293,2224.125,1789.167544386054,-0.3955134997647406,-0.48562871383352785,-0.48856520047145874,-0.4565691380232424,1892.267340065027,71.34298475783068,1156.1401831403177,116.7678469866101
1,Apartamento,Nenhum,Rua Deputado Mário de Barros,31,1,800,1297,Centro Cívico,Curitiba,-25.4127722,-49.2644256,1635.2,278.1199381561847,1643.8702290076335,1858.1809276690537,2224.125,1789.167544386054,-1.2160221314664468,-0.1866719348167865,-0.5181879153291591,-0.6402939938707974,1156.8082335355552,112.11884238029467,762.4349582547806,170.11287139415052
0,Apartamento,Exclusivo,Rua Canadá,98,3,1607,2432,Bacacheri,Curitiba,-25.3849287,-49.2316495,3556.1111111111113,2467.1432084723237,3157.162162162162,2268.8736873082294,2224.125,1789.167544386054,-0.4556326958446691,-0.3196132804653783,0.11618531794423508,-0.21968688612193746,2967.262370244481,81.9610703922896,1732.795313762456,140.35125676323221
0,Apartamento,Nenhum,Rua Murillo Szabo,55,2,980,1260,Campo de Santana,Curitiba,0.0,0.0,1307.6666666666667,90.46730532813126,1968.030612244898,1272.6401768260293,2224.125,1789.167544386054,-0.5268938484878752,-0.5563478390339128,-0.5388679238147235,-0.5407032037788372,1933.6366741648874,65.1621898174939,1351.1924319956906,93.25096634377971
0,Casa,Exclusivo,Rua Paula Prevedello Gusso,330,3,6150,6500,Boa vista,Curitiba,-25.3828495,-49.2583931,3992.3333333333335,2409.395429009803,3157.162162162162,2268.8736873082294,3763.2631578947367,4000.668209929417,1.0407866788795437,1.4733468224948871,0.6840699349455792,1.06606781210667,7447.6993654988755,87.27527362491229,1615.805996947661,402.2760165687482
0,Casa,Nenhum,Rua Nilo Peçanha,110,6,5890,6297,Bom Retiro,Curitiba,-25.4055551,-49.2757799,6297.0,,6297.0,,3763.2631578947367,4000.668209929417,,,0.6333284114430388,,3876.4241655517603,162.443523491545,2936.6028817667657,214.43144522869565
0,Apartamento,Originals,Avenida Fredolin Wolf,59,1,1440,1832,Pilarzinho,Curitiba,-25.3871663,-49.3012805,2150.6666666666665,1274.2438280538515,1643.8702290076335,1858.1809276690537,2224.125,1789.167544386054,-0.2500829587327608,0.10124405443573299,-0.21916617101086314,-0.12266835843596365,2771.3296790615195,66.10545161196364,945.8891282879968,193.6802047102298
