C0,C1,C2,C3,C4,C5,C6,C7,C8
vazio,Studio e kitnet,vazio,Rua Professor Nilo Brandão,"São Lourenço, Curitiba",            12 m²,            1 dorms,Aluguel: R$ 1.020,Total: R$ 1.099
vazio,Apartamento,vazio,Avenida Paraná,"Bacacheri, Curitiba",            55 m²,            1 dorms,Aluguel: R$ 1.105,Total: R$ 1.682
vazio,Apartamento,vazio,Travessa Capitão Clementino Paraná,"Água Verde, Curitiba",            180 m²,            3 dorms,Aluguel: R$ 3.750,Total: R$ 6.310
vazio,Studio e kitnet,              Originals,Rua Nunes Machado,"Centro, Curitiba",            29 m²,            1 dorms,Aluguel: R$ 1.700,Total: R$ 21.762
vazio,Studio e kitnet,vazio,Rua Domingos Gabardo,"Capão Raso, Curitiba",            32 m²,            1 dorms,Aluguel: R$ 1.111,Total: R$ 1.251
vazio,Apartamento,vazio,Rua João Koleski,"Cidade Industrial, Curitiba",            31 m²,            1 dorms,Aluguel: R$ 1.500,Total: R$ 1.854
vazio,Apartamento,              Exclusivo,Avenida Visconde de Guarapuava,"Batel, Curitiba",            260 m²,            3 dorms,Aluguel: R$ 8.000,Total: R$ 11.802
vazio,Apartamento,              Exclusivo,Rua Miguel Jorge Nasser,"Tingui, Curitiba",            54 m²,            3 dorms,Aluguel: R$ 816,Total: R$ 1.205
vazio,Apartamento,              Exclusivo,Avenida dos Estados,"Portão , Curitiba",            71 m²,            3 dorms,Aluguel: R$ 1.900,Total: R$ 2.332
vazio,Casa,              Exclusivo,Rua Sargento Luiz Gonzaga Martins Ribas,"Uberaba, Curitiba",            65 m²,            2 dorms,Aluguel: R$ 1.500,Total: R$ 1.559
vazio,Apartamento,vazio,Rua Synval Stocchero,"Cidade Industrial, Curitiba",            56 m²,            2 dorms,Aluguel: R$ 1.020,Total: R$ 1.337
vazio,Casa,              Exclusivo,Rua Ebraim Sebastião de Castro,"Santa Cândida, Curitiba",            125 m²,            4 dorms,Aluguel: R$ 2.600,Total: R$ 2.756
vazio,Apartamento,              Originals,Rua Paulo Ziliotto,"Campina do Siqueira, Curitiba",            42 m²,            1 dorms,Aluguel: R$ 2.000,Total: R$ 2.649
vazio,Casa,vazio,Rua Engenheiros Rebouças,"Rebouças , Curitiba",            212 m²,            4 dorms,Aluguel: R$ 5.440,Total: R$ 5.781
vazio,Studio e kitnet,              Exclusivo,Rua Baltazar Carrasco dos Reis,"Rebouças , Curitiba",            40 m²,            1 dorms,Aluguel: R$ 1.547,Total: R$ 1.895
vazio,Studio e kitnet,vazio,Rua Alfredo Muraro,"Cascatinha, Curitiba",            40 m²,            1 dorms,Aluguel: R$ 550,Total: R$ 570
vazio,Apartamento,              Exclusivo,Rua Synval Stocchero,"Cidade Industrial, Curitiba",            43 m²,            1 dorms,Aluguel: R$ 1.105,Total: R$ 1.425
vazio,Casa,              Exclusivo,Rua Brasílio Ribas,"Novo Mundo, Curitiba",            230 m²,            4 dorms,Aluguel: R$ 7.147,Total: R$ 7.563
vazio,Casa,vazio,Rua das Carmelitas,"Boqueirão, Curitiba",            40 m²,            1 dorms,Aluguel: R$ 680,Total: R$ 1.040
vazio,Apartamento,              Exclusivo,Rua Lothario Boutin,"Pinheirinho, Curitiba",            45 m²,            2 dorms,Aluguel: R$ 1.500,Total: R$ 1.914
vazio,Studio e kitnet,vazio,Rua Cláudio Mendes Sobrinho,"Santa Cândida, Curitiba",            25 m²,            1 dorms,Aluguel: R$ 792,Total: R$ 1.021
vazio,Apartamento,vazio,Rua Professor Algacyr Munhoz Mader,"Cidade Industrial de Curitiba, Curitiba",            45 m²,            2 dorms,Aluguel: R$ 1.275,Total: R$ 1.322
